"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"239","3D13_contig_34",0.000478862603473473,1.35725902300369e-05,6.06148834390945e-06,3.88633579297582e-06,4.55153028137473e-05,0,2.51920471629384e-06
"240","3D13_contig_35",0.00017020689604092,0.00024879455960417,0.000230818337501844,0.000283320089164118,0.000446940974320063,0.000307433437768658,0.000186421149005744
"241","3D13_contig_36",0.000530631533578713,0.000694568861568364,0.00118709428004418,0.00124613062737189,0.000912858100164512,0.000848249509416965,0.000685223682831925
"242","3D13_contig_37",0.000212252613431485,0.00021532287009576,0.000207184257173825,0.000188920128670509,0.00035184329378682,0.000227878620284033,0.000128479440530986
"243","3D13_contig_38",0.000301456039591689,0.000437487992567929,0.000305517866411284,0.000352231338590237,0.000428961315257002,0.000297384174678763,0.000254724165866482
"244","3D13_contig_39",1.55306790315721e-05,1.62871082760443e-05,2.42459533756378e-05,1.55453431719033e-05,0.000112892076942505,1.07849136098761e-05,0
"245","3D13_contig_4",0.00133174117731235,0.00158877381042716,0.00176178307595569,0.00161060300387677,0.00438213734080849,0.00090747846517545,0.000750723005455565
"246","3D13_contig_40",8.43077738637047e-05,9.50081316102586e-05,9.01600239599607e-05,4.27496937227341e-05,0.000169807091266673,1.87340791488645e-05,2.51920471629384e-06
"247","3D13_contig_41",1.81191255368341e-05,2.71451804600739e-05,8.08198445854594e-06,2.3318014757855e-05,8.9280017057735e-05,2.0478155541693e-05,2.26728424466446e-05
"248","3D13_contig_42",3.62382510736682e-05,0.000190016263220517,0.000142302425742496,0.000131632706037839,0.000252957019630302,8.2684337675717e-05,0.00013099864524728
"249","3D13_contig_43",2.58844650526201e-06,2.71451804600739e-06,1.41434728024554e-05,2.91475184473187e-06,2.62588285463927e-05,5.39245680493807e-06,5.03840943258768e-06
"250","3D13_contig_44",1.81191255368341e-05,8.14355413802217e-06,1.21229766878189e-05,1.55453431719033e-05,6.30211885113424e-05,7.18994240658409e-06,0
"251","3D13_contig_45",0,0,2.02049611463648e-06,1.94316789648791e-06,2.97600056859117e-05,3.59497120329204e-06,0
"252","3D13_contig_46",0.0249200942000656,0.0107624872221235,0.0118109559638157,0.0115000700405917,0.0142042519017542,0.00965854491290932,0.00943972555696738
"253","3D13_contig_47",3.36498045684062e-05,0,8.08198445854594e-06,3.88633579297582e-06,3.32611828254307e-05,3.59497120329204e-06,0
"254","3D13_contig_48",0,0,2.02049611463648e-06,0,0,0,0
"255","3D13_contig_49",2.58844650526201e-06,0,0,1.94316789648791e-06,7.00235427903804e-06,0,0
